pkuseg,,,,
党政办公室,教务部,招生办公室,研究生院,科学技术部
"('党政', 0.20752815630975247)","('教务部', 0.3060839992840807)","('中学', 0.3394371389893528)","('研究生院', 0.4503928726454712)","('技术部', 0.27380605538438585)"
"('定于', 0.09541537016935553)","('教学', 0.12228977888277089)","('招生', 0.3093593267003605)","('研究生', 0.38068190371292204)","('项目', 0.23495054659182085)"
"('培养', 0.07935822464670121)","('课程', 0.07837799249604296)","('进', 0.2383647947154827)","('硕士', 0.16219589700821724)","('基金', 0.23216324975934227)"
"('全', 0.07088623000338307)","('课堂', 0.06769202935778154)","('名师', 0.22258173302699802)","('导师', 0.1346722248058253)","('自然科学', 0.23216324975934227)"
"('总支', 0.06769202935778154)","('任课', 0.060899559594558596)","('介绍', 0.21379165337560052)","('学位', 0.1198136953803545)","('科学', 0.2013917850109348)"
"('办公室', 0.06297422453426305)","('办公室', 0.05751573056407797)","('走', 0.20562080143885633)","('培养', 0.07745980476108738)","('科研', 0.18122447570412614)"
"('南山区', 0.055860030585275805)","('招生', 0.05592593514852144)","('办公室', 0.18926894490256713)","('26050732', 0.06769202935778154)","('领域', 0.14819915745703557)"
"('博物馆', 0.055860030585275805)","('研究生院', 0.054387447882864544)","('通知', 0.18056470797032395)","('项目', 0.06441285958998524)","('国家', 0.14483888781693596)"
"('筹', 0.055860030585275805)","('11月', 0.053934989461036996)","('热烈', 0.17658043808578572)","('博士', 0.05754892578982496)","('李洁', 0.13057866947980282)"
"('申请', 0.054387447882864544)","('本科', 0.053605863684116524)","('生源', 0.17183438054749925)","('创新', 0.054387447882864544)","('szu.edu.cn', 0.1216275579353158)"
"('本页', 0.04984115230131111)","('门', 0.04984115230131111)","('伊始', 0.17183438054749925)","('重点', 0.0505148687535411)","('科技部', 0.12032511977669098)"
"('基层', 0.04984115230131111)","('科研', 0.04671635468213304)","('主任', 0.16527987523703905)","('仔细', 0.04984115230131111)","('lijie', 0.11745929046414541)"
"('入口', 0.04984115230131111)","('教师', 0.046630246497562436)","('高考', 0.16219589700821724)","('是否', 0.04818361662573223)","('研究', 0.11244717718164249)"
"('10月', 0.0498334312265465)","('229', 0.04424886378799753)","('纷纷', 0.15774589336677913)","('名单', 0.04804489151477013)","('@', 0.10502251863611517)"
"('建议', 0.04860653228466512)","('学时', 0.04424886378799753)","('表示', 0.15520184720434632)","('邹娟', 0.04424886378799753)","('科技', 0.09921037512531394)"
,,,,
jieba,,,,
党政办公室,教务部,招生办公室,研究生院,科学技术部
"('党政', 0.20752815630975247)","('教务部', 0.3060839992840807)","('中学', 0.3394371389893528)","('研究生院', 0.4503928726454712)","('科学技术部', 0.27380605538438585)"
"('定于', 0.10766954176293568)","('教学', 0.11968420697205953)","('招生', 0.3093593267003605)","('研究生', 0.38068190371292204)","('项目', 0.22363215485879331)"
"('全校', 0.09084820011556395)","('课程', 0.08305464880905915)","('走进', 0.26521453397723904)","('硕士', 0.14823431385898284)","('26532350', 0.15774589336677913)"
"('党委', 0.0835574686099803)","('办公室', 0.05751573056407797)","('名师', 0.22258173302699802)","('导师', 0.1346722248058253)","('国家自然科学基金', 0.1440011460180627)"
"('培养', 0.07281466452127973)","('招生', 0.05592593514852144)","('进', 0.21642133374928169)","('学位', 0.10902734068335945)","('科研', 0.13748949001930338)"
"('总支', 0.06769202935778154)","('门', 0.055860030585275805)","('介绍', 0.2048413098406034)","('培养', 0.0882322458114358)","('领域', 0.13467902205271728)"
"('基层', 0.06769202935778154)","('研究生院', 0.054387447882864544)","('办公室', 0.18926894490256713)","('博士', 0.07384307734906406)","('李洁', 0.13057866947980282)"
"('办公室', 0.06297422453426305)","('广东省教育厅', 0.052587871362114305)","('主任', 0.1800150611302182)","('专业学位', 0.06769202935778154)","('研究', 0.1238151408993675)"
"('南山区', 0.055860030585275805)","('课', 0.04984115230131111)","('圆满结束', 0.17658043808578572)","('26050732', 0.06769202935778154)","('科技部', 0.12032511977669098)"
"('一名', 0.055860030585275805)","('11', 0.04544735155706169)","('通知', 0.17567030669557243)","('项目', 0.060341729685748274)","('lijie', 0.11745929046414541)"
"('保密工作', 0.055860030585275805)","('229', 0.04424886378799753)","('伊始', 0.17183438054749925)","('硕士学位', 0.055860030585275805)","('010', 0.1046257860277012)"
"('博物馆', 0.055860030585275805)","('课堂教学', 0.04424886378799753)","('生源', 0.17183438054749925)","('岗位职责', 0.055860030585275805)","('学生', 0.10227127177456852)"
"('筹', 0.055860030585275805)","('上网', 0.04424886378799753)","('高考', 0.16219589700821724)","('名单', 0.05138381130126548)","('国际', 0.09686640611265973)"
"('申请', 0.052441718843757604)","('思政', 0.04424886378799753)","('大学', 0.14618122093696648)","('创新', 0.0505148687535411)","('gov', 0.09621018510034099)"
"('研究', 0.0505148687535411)","('英语四', 0.04424886378799753)","('感谢', 0.1440011460180627)","('是否', 0.04818361662573223)","('@', 0.09550898804018416)"
,,,,
jieba搜索引擎模式,,,,
党政办公室,教务部,招生办公室,研究生院,科学技术部
"('党政', 0.211387)","('教务部', 0.306084)","('中学', 0.339437)","('研究生院', 0.450393)","('科学', 0.324633)"
"('定于', 0.10767)","('教务', 0.263097)","('招生', 0.309359)","('研究生', 0.392151)","('技术部', 0.273806)"
"('全校', 0.082252)","('教学', 0.12229)","('走进', 0.265215)","('研究', 0.185429)","('科学技术部', 0.273806)"
"('培养', 0.079358)","('课程', 0.078378)","('名师', 0.222582)","('硕士', 0.162196)","('自然', 0.248411)"
"('山区', 0.067692)","('本科', 0.068268)","('进', 0.216421)","('导师', 0.134672)","('自然科', 0.248411)"
"('总支', 0.067692)","('课堂', 0.067692)","('介绍', 0.204841)","('学位', 0.119814)","('技术', 0.241941)"
"('办公室', 0.062974)","('任课', 0.0609)","('办公室', 0.189269)","('培养', 0.07746)","('项目', 0.234951)"
"('公室', 0.062974)","('办公室', 0.057516)","('公室', 0.189269)","('专业学位', 0.067692)","('基金', 0.190161)"
"('申请', 0.056352)","('公室', 0.057516)","('主任', 0.184614)","('26050732', 0.067692)","('科技', 0.180353)"
"('南山区', 0.05586)","('招生', 0.055926)","('通知', 0.180565)","('项目', 0.064413)","('科研', 0.172837)"
"('一名', 0.05586)","('门', 0.05586)","('圆满结束', 0.17658)","('创新', 0.056352)","('26532350', 0.157746)"
"('保密工作', 0.05586)","('研究生院', 0.054387)","('热烈', 0.17658)","('硕士学位', 0.05586)","('领域', 0.148199)"
"('博物', 0.05586)","('广东省教育厅', 0.052588)","('生源', 0.171834)","('岗位职责', 0.05586)","('国家自然科学基金', 0.144001)"
"('筹', 0.05586)","('课', 0.049841)","('伊始', 0.171834)","('博士', 0.052571)","('国家', 0.139687)"
"('博物馆', 0.05586)","('科研', 0.048607)","('高考', 0.162196)","('科技', 0.052442)","('李洁', 0.130579)"
