,党政办公室,教务部,招生办公室,研究生院,科学技术部
0,"('党政', 0.211387)","('教务部', 0.306084)","('中学', 0.339437)","('研究生院', 0.450393)","('科学', 0.324633)"
1,"('定于', 0.10767)","('教务', 0.263097)","('招生', 0.309359)","('研究生', 0.392151)","('技术部', 0.273806)"
2,"('全校', 0.082252)","('教学', 0.12229)","('走进', 0.265215)","('研究', 0.185429)","('科学技术部', 0.273806)"
3,"('培养', 0.079358)","('课程', 0.078378)","('名师', 0.222582)","('硕士', 0.162196)","('自然', 0.248411)"
4,"('山区', 0.067692)","('本科', 0.068268)","('进', 0.216421)","('导师', 0.134672)","('自然科', 0.248411)"
5,"('总支', 0.067692)","('课堂', 0.067692)","('介绍', 0.204841)","('学位', 0.119814)","('技术', 0.241941)"
6,"('办公室', 0.062974)","('任课', 0.0609)","('办公室', 0.189269)","('培养', 0.07746)","('项目', 0.234951)"
7,"('公室', 0.062974)","('办公室', 0.057516)","('公室', 0.189269)","('专业学位', 0.067692)","('基金', 0.190161)"
8,"('申请', 0.056352)","('公室', 0.057516)","('主任', 0.184614)","('26050732', 0.067692)","('科技', 0.180353)"
9,"('南山区', 0.05586)","('招生', 0.055926)","('通知', 0.180565)","('项目', 0.064413)","('科研', 0.172837)"
10,"('一名', 0.05586)","('门', 0.05586)","('圆满结束', 0.17658)","('创新', 0.056352)","('26532350', 0.157746)"
11,"('保密工作', 0.05586)","('研究生院', 0.054387)","('热烈', 0.17658)","('硕士学位', 0.05586)","('领域', 0.148199)"
12,"('博物', 0.05586)","('广东省教育厅', 0.052588)","('生源', 0.171834)","('岗位职责', 0.05586)","('国家自然科学基金', 0.144001)"
13,"('筹', 0.05586)","('课', 0.049841)","('伊始', 0.171834)","('博士', 0.052571)","('国家', 0.139687)"
14,"('博物馆', 0.05586)","('科研', 0.048607)","('高考', 0.162196)","('科技', 0.052442)","('李洁', 0.130579)"
